,PC1,PC2,PC3
LOT,0.14212927491844232,-1.051998370521905,0.0006858848359888447
CIF,-0.21952657663602354,-0.8430122533164048,0.04467408147976426
SPD,-0.3736997016809104,0.9250858015994695,-0.3815678854350757
POA,-0.40664974351060257,2.8638487118953213,12.326920915549895
PUSHI,-0.39526017487712534,1.3644676974419228,-0.5130875895594987
ELP,-0.3132344643088069,1.1174777003361784,-0.473953540581816
VLX,-0.29458903891496013,0.6015910396660971,-0.24483923526450543
ONT,-0.3259438715646987,0.8330924685332599,-0.07220658769033149
CLO,-0.0992950917192693,-2.002176418055362,0.3884513286217023
TUBE,0.31316985952229454,-2.352247577454755,0.3970601825385243
PSD,-0.16491267809285684,-1.039266089403074,0.007540881207337463
ADK,-0.15068412216379296,-2.1987599196837353,0.40380697108183583
BSX,-0.3518445908865977,1.7753277597538195,-0.6014921327905693
BRIA,-0.33489650552360634,1.167881228983775,-0.550336917982286
IC,-0.3348782343097253,1.1678797140847796,-0.5503372275085838
BTL,-0.1446590233692773,-1.9694206751775214,0.32995063031456223
MEDIC,-0.28897561687969764,0.6013249438353153,-0.24496023038976328
ALPS,-0.1405843292029642,-2.0101634719676653,0.4262042385215236
BITG,-0.3496864444300727,0.7838718680987017,-0.07749451907186601
DEV,-0.3698023197721699,1.006815721691898,-0.1648862574811576
ABJ,-0.3345950130022785,1.1678612486563387,-0.550342677367237
SEM,3.9451779426377094,2.9248712705019813,0.016565922857209796
FTO,-0.22455032180140927,-0.8427210327862693,0.04477546945174865
CARE,-0.39105527560238035,1.6776016444218,-0.5110993775836365
NZL,-0.369990821902005,1.0068207902543664,-0.1648816918994397
XMC,0.30543680345569457,-2.351493465341014,0.3971765087247338
PROTON,-0.3081517704336714,0.5060212588683669,-0.04324578379829949
DEAL,-0.28151566895929403,1.1640606913619154,-0.5513198852507333
JUMP,-0.1821440838464864,-0.4317827044174895,-0.04361127044043185
INFX,-0.14740524545087078,-2.1515651087502734,0.3967383054388062
XBI,-0.2934181738354744,0.08715278640363751,-0.1830506135680865
KEC,-0.13947949389558503,-1.9773183234950138,0.428171138519886
HWC,-0.29512269306768324,0.6016683749082686,-0.24483449441147315
GIN,-0.14288294870067242,-2.0099412182088177,0.42623906328452194
PLTC,0.309361064000779,-2.351945925160003,0.39712654360528754
LOKI,0.591350024002029,-2.0449873806253045,0.31139929088732793
NCP,2.1122194421096183,-2.489768341551168,0.3650703879884325
SIC,-0.13818637925691113,1.1610466885865995,-0.5549005063669382
XT3,-0.2953745658117509,0.6016511661288602,-0.2448252778376669
MGD,-0.13666112035597758,-2.221492936376595,0.1929798635824902
